task_id,department,criticality,urgency,asset_condition,overdue,overdue_days,failure_history,estimated_duration_hours,safety_critical,passenger_impact,priority_score,maintenance_priority_class
TASK-1027,S&T,ROUTINE,NORMAL,GOOD,True,11,3,2.2,0,1,48.84194761201951,MEDIUM
TASK-1028,Engineering,MEDIUM,MEDIUM,DEGRADED,False,0,4,3.5,0,1,44.70575987408322,LOW
TASK-1029,Engineering,ROUTINE,NORMAL,FAIR,False,0,4,7.3,0,1,30.412362076215928,LOW
TASK-1030,Traction,MEDIUM,HIGH,DEGRADED,False,0,2,2.1,0,1,41.42576387657068,LOW
TASK-1031,S&T,CRITICAL,IMMEDIATE,POOR,False,0,2,7.1,1,1,100.0,CRITICAL
TASK-1032,Traction,CRITICAL,IMMEDIATE,POOR,True,16,1,1.6,1,1,100.0,CRITICAL
TASK-1033,Engineering,MEDIUM,MEDIUM,FAIR,False,0,3,6.1,0,1,45.35956994406197,MEDIUM
TASK-1034,Traction,HIGH,MEDIUM,DEGRADED,False,0,1,6.1,1,1,60.815906966299956,MEDIUM
TASK-1035,S&T,CRITICAL,HIGH,FAILED,False,0,0,3.5,1,1,95.40099356270407,CRITICAL
TASK-1036,Engineering,ROUTINE,NORMAL,FAIR,True,23,0,4.3,0,1,40.64275500035541,LOW
TASK-1037,Engineering,ROUTINE,NORMAL,GOOD,True,35,4,7.0,0,1,57.217068791602664,MEDIUM
TASK-1038,Engineering,ROUTINE,NORMAL,FAIR,False,0,0,6.4,0,0,28.306508653040773,LOW
TASK-1039,S&T,HIGH,IMMEDIATE,FAILED,True,14,2,1.0,1,1,100.0,CRITICAL
TASK-1040,S&T,CRITICAL,HIGH,FAILED,False,0,1,8.0,1,0,90.60040133368435,CRITICAL
TASK-1041,Traction,MEDIUM,MEDIUM,DEGRADED,True,6,1,7.8,0,1,49.87317026714668,MEDIUM
TASK-1042,Engineering,ROUTINE,NORMAL,GOOD,False,0,2,5.6,0,1,17.4990357920328,LOW
TASK-1043,Traction,HIGH,MEDIUM,DEGRADED,True,6,0,6.3,1,0,73.54869087479908,HIGH
TASK-1044,S&T,LOW,NORMAL,GOOD,True,9,2,2.7,0,1,38.130474139120146,LOW
TASK-1045,Engineering,CRITICAL,IMMEDIATE,POOR,True,6,1,0.5,1,0,100.0,CRITICAL
TASK-1046,Traction,MEDIUM,MEDIUM,DEGRADED,True,4,0,7.8,0,1,37.88650240089703,LOW
TASK-1047,Engineering,CRITICAL,HIGH,FAILED,False,0,0,7.3,1,1,99.24801048510513,CRITICAL
TASK-1048,Traction,HIGH,HIGH,DEGRADED,True,12,1,6.8,1,1,93.14814420961807,CRITICAL
TASK-1049,Traction,CRITICAL,IMMEDIATE,FAILED,False,0,3,2.0,1,1,100.0,CRITICAL
TASK-1050,S&T,LOW,NORMAL,FAIR,True,19,2,4.5,0,0,44.105019208163796,LOW
TASK-1051,Traction,MEDIUM,NORMAL,GOOD,True,4,3,5.0,0,0,41.34928472816158,LOW
TASK-1052,S&T,ROUTINE,NORMAL,GOOD,True,11,1,1.3,0,1,41.835280517348956,LOW
TASK-1053,S&T,MEDIUM,MEDIUM,DEGRADED,True,14,1,2.3,1,0,71.2647130924893,HIGH
TASK-1054,Engineering,CRITICAL,IMMEDIATE,FAILED,False,0,2,7.6,1,0,100.0,CRITICAL
TASK-1055,Engineering,CRITICAL,HIGH,POOR,True,17,4,6.6,1,1,100.0,CRITICAL
TASK-1056,Traction,LOW,NORMAL,FAIR,False,0,1,1.5,0,0,21.977185855048518,LOW
TASK-1057,S&T,HIGH,IMMEDIATE,FAILED,True,7,2,1.7,1,1,100.0,CRITICAL
TASK-1058,Traction,HIGH,IMMEDIATE,FAILED,True,3,0,3.7,1,1,99.56296200390898,CRITICAL
TASK-1059,Engineering,CRITICAL,IMMEDIATE,FAILED,True,21,2,6.2,1,1,100.0,CRITICAL
TASK-1060,Traction,ROUTINE,NORMAL,FAIR,True,32,1,5.8,0,1,37.95850857322424,LOW
TASK-1061,S&T,MEDIUM,MEDIUM,DEGRADED,False,0,2,3.8,1,1,55.81238229402651,MEDIUM
TASK-1062,Traction,CRITICAL,IMMEDIATE,POOR,True,11,3,1.4,1,0,100.0,CRITICAL
TASK-1063,Engineering,ROUTINE,MEDIUM,GOOD,False,0,4,3.0,0,0,39.76936187082706,LOW
TASK-1064,Traction,HIGH,IMMEDIATE,FAILED,False,0,3,2.2,1,1,100.0,CRITICAL
TASK-1065,Engineering,ROUTINE,MEDIUM,GOOD,False,0,2,1.0,0,0,31.677459049876024,LOW
TASK-1066,Traction,LOW,NORMAL,GOOD,True,1,4,2.2,0,0,37.256314273664856,LOW
TASK-1067,Engineering,MEDIUM,HIGH,DEGRADED,True,22,0,1.0,0,0,69.38912584240057,HIGH
TASK-1068,Engineering,MEDIUM,MEDIUM,DEGRADED,False,0,2,5.5,0,1,46.221693959909054,MEDIUM
TASK-1069,Engineering,CRITICAL,HIGH,FAILED,True,14,1,1.5,1,1,100.0,CRITICAL
TASK-1070,Traction,CRITICAL,HIGH,FAILED,True,5,1,4.0,1,1,100.0,CRITICAL
TASK-1071,S&T,HIGH,HIGH,POOR,False,0,2,1.9,1,1,86.43836637461646,CRITICAL
TASK-1072,Engineering,HIGH,HIGH,POOR,False,0,0,3.2,1,0,77.20487253383071,HIGH
TASK-1073,S&T,CRITICAL,HIGH,POOR,False,0,1,7.0,1,1,80.58598754979602,CRITICAL
TASK-1074,Engineering,LOW,NORMAL,GOOD,False,0,2,1.0,0,0,22.895152002333884,LOW
TASK-1075,Traction,MEDIUM,MEDIUM,DEGRADED,False,0,2,6.5,0,0,45.83437133722262,MEDIUM
TASK-1076,Engineering,LOW,MEDIUM,FAIR,True,46,0,1.9,0,1,50.59787455717289,MEDIUM
TASK-1077,Traction,CRITICAL,HIGH,POOR,False,0,0,1.6,1,1,82.88873145201163,CRITICAL
TASK-1078,Engineering,MEDIUM,MEDIUM,DEGRADED,True,25,2,4.0,0,1,63.408198784747256,MEDIUM
TASK-1079,Engineering,CRITICAL,IMMEDIATE,POOR,False,0,1,6.6,1,1,100.0,CRITICAL
TASK-1080,Traction,LOW,NORMAL,GOOD,False,0,1,0.9,0,0,22.63682739268578,LOW
TASK-1081,Traction,ROUTINE,NORMAL,GOOD,False,0,0,7.8,0,1,15.68004615160092,LOW
TASK-1082,Engineering,ROUTINE,NORMAL,FAIR,True,4,0,3.5,0,1,25.748809452754315,LOW
TASK-1083,S&T,MEDIUM,MEDIUM,FAIR,False,0,0,7.0,0,1,38.77695612912878,LOW
TASK-1084,Engineering,MEDIUM,NORMAL,FAIR,False,0,1,3.3,0,1,34.71680096189967,LOW
TASK-1085,S&T,MEDIUM,MEDIUM,DEGRADED,False,0,1,7.4,1,1,50.46641800339091,MEDIUM
TASK-1086,S&T,MEDIUM,MEDIUM,DEGRADED,False,0,1,3.7,1,0,52.23699335658207,MEDIUM
TASK-1087,Traction,CRITICAL,HIGH,FAILED,False,0,3,5.5,1,1,100.0,CRITICAL
TASK-1088,S&T,ROUTINE,MEDIUM,FAIR,True,5,1,1.9,0,0,31.480074066420897,LOW
TASK-1089,Engineering,LOW,NORMAL,GOOD,False,0,1,4.8,0,0,22.568647301064903,LOW
TASK-1090,Traction,ROUTINE,MEDIUM,GOOD,True,4,2,6.1,0,1,45.37700399322719,MEDIUM
TASK-1091,Engineering,ROUTINE,NORMAL,GOOD,False,0,2,4.9,0,1,22.24243257979346,LOW
TASK-1092,Traction,HIGH,IMMEDIATE,FAILED,True,3,0,1.7,1,1,100.0,CRITICAL
TASK-1093,Traction,LOW,NORMAL,GOOD,True,5,4,6.9,0,1,33.423560430495996,LOW
TASK-1094,Engineering,HIGH,IMMEDIATE,FAILED,True,1,3,1.0,1,0,100.0,CRITICAL
TASK-1095,Engineering,CRITICAL,HIGH,POOR,True,19,0,1.4,1,0,100.0,CRITICAL
TASK-1096,Traction,LOW,NORMAL,FAIR,True,20,1,4.8,0,1,47.04301474924418,MEDIUM
TASK-1097,Engineering,HIGH,IMMEDIATE,FAILED,False,0,2,1.1,1,1,100.0,CRITICAL
TASK-1098,Traction,CRITICAL,IMMEDIATE,FAILED,True,1,3,4.7,1,1,100.0,CRITICAL
TASK-1099,S&T,HIGH,MEDIUM,DEGRADED,True,2,2,2.0,1,1,67.50047721289849,HIGH
TASK-1100,Traction,HIGH,MEDIUM,DEGRADED,True,38,1,2.3,1,1,84.61976333553896,CRITICAL
TASK-1101,S&T,MEDIUM,NORMAL,FAIR,False,0,2,5.5,0,1,25.725716640671152,LOW
TASK-1102,S&T,CRITICAL,HIGH,POOR,False,0,0,2.9,1,0,82.48428523440947,CRITICAL
TASK-1103,Engineering,ROUTINE,NORMAL,GOOD,False,0,2,3.9,0,1,27.48103182406709,LOW
TASK-1104,Traction,ROUTINE,MEDIUM,GOOD,False,0,0,1.0,0,1,19.467370456291647,LOW
TASK-1105,Engineering,CRITICAL,IMMEDIATE,FAILED,False,0,0,2.5,1,1,100.0,CRITICAL
TASK-1106,S&T,ROUTINE,NORMAL,GOOD,False,0,1,7.1,0,1,19.282876144331176,LOW
TASK-1107,S&T,MEDIUM,MEDIUM,DEGRADED,False,0,1,1.7,1,0,45.79679961156214,MEDIUM
TASK-1108,Traction,HIGH,HIGH,DEGRADED,False,0,2,5.1,1,0,70.11091656204562,HIGH
TASK-1109,Traction,CRITICAL,IMMEDIATE,FAILED,True,10,0,0.6,1,0,100.0,CRITICAL
TASK-1110,Traction,HIGH,MEDIUM,DEGRADED,False,0,0,7.5,1,0,63.56499215086194,MEDIUM
TASK-1111,Engineering,LOW,MEDIUM,FAIR,False,0,1,2.5,0,0,32.79664901682124,LOW
TASK-1112,Engineering,CRITICAL,HIGH,FAILED,False,0,3,1.7,1,1,100.0,CRITICAL
TASK-1113,S&T,CRITICAL,HIGH,FAILED,False,0,2,2.1,1,1,100.0,CRITICAL
TASK-1114,S&T,LOW,NORMAL,FAIR,False,0,3,5.7,0,0,31.516509410082605,LOW
TASK-1115,S&T,CRITICAL,IMMEDIATE,FAILED,False,0,3,4.2,1,0,100.0,CRITICAL
TASK-1116,Engineering,ROUTINE,MEDIUM,GOOD,True,2,1,5.3,0,1,25.10813611192484,LOW
TASK-1117,S&T,MEDIUM,NORMAL,GOOD,True,24,1,0.5,0,1,59.85247317630569,MEDIUM
TASK-1118,Engineering,MEDIUM,MEDIUM,DEGRADED,False,0,0,1.7,0,1,35.130455251054165,LOW
TASK-1119,S&T,HIGH,IMMEDIATE,FAILED,False,0,1,5.8,1,1,89.96669451575889,CRITICAL
TASK-1120,Traction,ROUTINE,NORMAL,GOOD,True,31,2,1.3,0,0,42.47723180756371,LOW
TASK-1121,Traction,ROUTINE,NORMAL,FAIR,False,0,1,4.6,0,1,18.706155871093216,LOW
TASK-1122,S&T,HIGH,HIGH,FAILED,False,0,2,4.6,1,1,97.85400317817755,CRITICAL
TASK-1123,S&T,LOW,NORMAL,FAIR,True,9,1,0.8,0,1,27.648876400547717,LOW
TASK-1124,S&T,ROUTINE,MEDIUM,GOOD,False,0,4,7.2,0,1,31.86877390495662,LOW
TASK-1125,Engineering,MEDIUM,NORMAL,FAIR,False,0,2,5.5,0,1,33.71047546331108,LOW
TASK-1126,S&T,CRITICAL,HIGH,FAILED,True,12,0,7.1,1,1,100.0,CRITICAL
TASK-1127,S&T,HIGH,IMMEDIATE,FAILED,True,16,3,6.1,1,1,100.0,CRITICAL
TASK-1128,Engineering,ROUTINE,NORMAL,FAIR,True,3,2,7.8,0,1,26.106256891682612,LOW
TASK-1129,Engineering,CRITICAL,IMMEDIATE,POOR,True,15,2,0.7,1,0,100.0,CRITICAL
TASK-1130,Traction,HIGH,MEDIUM,DEGRADED,True,1,4,6.4,1,1,74.82740187532676,HIGH
TASK-1131,S&T,ROUTINE,NORMAL,FAIR,False,0,2,2.5,0,0,31.266922385588504,LOW
TASK-1132,Traction,ROUTINE,NORMAL,GOOD,False,0,0,3.4,0,0,16.161012174479357,LOW
TASK-1133,Engineering,CRITICAL,HIGH,POOR,True,23,0,2.2,1,1,100.0,CRITICAL
TASK-1134,S&T,HIGH,MEDIUM,DEGRADED,True,14,3,2.8,1,1,84.93005577887246,CRITICAL
TASK-1135,Engineering,ROUTINE,MEDIUM,FAIR,True,17,1,0.7,0,0,55.10554278893858,MEDIUM
TASK-1136,Engineering,HIGH,HIGH,POOR,False,0,0,3.0,1,1,85.94508265553776,CRITICAL
TASK-1137,Engineering,HIGH,HIGH,DEGRADED,True,21,1,3.1,1,1,89.14626853125262,CRITICAL
TASK-1138,Traction,HIGH,HIGH,POOR,True,35,1,5.6,1,1,100.0,CRITICAL
TASK-1139,Traction,MEDIUM,MEDIUM,DEGRADED,True,4,2,7.5,0,1,46.67228394993513,MEDIUM
TASK-1140,Engineering,MEDIUM,MEDIUM,DEGRADED,False,0,0,1.8,0,0,43.97278931758894,LOW
TASK-1141,S&T,LOW,NORMAL,GOOD,False,0,3,1.3,0,1,31.94196636724042,LOW
TASK-1142,S&T,MEDIUM,MEDIUM,DEGRADED,True,3,5,6.0,1,1,66.02777160188629,HIGH
TASK-1143,S&T,CRITICAL,IMMEDIATE,POOR,False,0,2,5.0,1,1,100.0,CRITICAL
TASK-1144,Traction,MEDIUM,NORMAL,GOOD,True,2,1,3.4,0,1,35.23218274078074,LOW
TASK-1145,Traction,LOW,NORMAL,FAIR,True,3,2,2.4,0,1,26.493101213338868,LOW
TASK-1146,Traction,CRITICAL,HIGH,POOR,True,2,0,0.5,1,1,95.04256174188713,CRITICAL
TASK-1147,Traction,LOW,NORMAL,FAIR,False,0,1,3.2,0,1,26.82507480531615,LOW
TASK-1148,Engineering,HIGH,HIGH,DEGRADED,False,0,1,5.2,1,0,73.8860593753226,HIGH
TASK-1149,Traction,ROUTINE,NORMAL,GOOD,True,10,1,5.9,0,1,42.40034500161082,LOW
TASK-1150,S&T,CRITICAL,HIGH,FAILED,True,6,1,2.8,1,0,100.0,CRITICAL
TASK-1151,S&T,HIGH,MEDIUM,DEGRADED,False,0,3,3.5,1,0,60.2652068563328,MEDIUM
TASK-1152,S&T,CRITICAL,HIGH,FAILED,False,0,0,1.5,1,0,96.76027698257148,CRITICAL
TASK-1153,S&T,CRITICAL,HIGH,POOR,False,0,1,5.6,1,1,97.58647915794064,CRITICAL
TASK-1154,Engineering,CRITICAL,IMMEDIATE,FAILED,True,6,1,4.8,1,0,100.0,CRITICAL
TASK-1155,S&T,CRITICAL,IMMEDIATE,FAILED,False,0,0,6.8,1,0,100.0,CRITICAL
TASK-1156,S&T,HIGH,MEDIUM,DEGRADED,False,0,0,2.1,1,1,52.84612448940976,MEDIUM
TASK-1157,Traction,HIGH,IMMEDIATE,FAILED,False,0,0,5.4,1,0,85.55229634527234,CRITICAL
TASK-1158,S&T,HIGH,HIGH,POOR,False,0,3,3.8,1,1,89.80207328072149,CRITICAL
TASK-1159,Engineering,HIGH,HIGH,FAILED,True,36,2,4.0,1,1,100.0,CRITICAL
TASK-1160,Traction,LOW,NORMAL,FAIR,False,0,0,5.4,0,1,19.56930777258318,LOW
TASK-1161,S&T,HIGH,IMMEDIATE,FAILED,True,14,0,5.5,1,0,100.0,CRITICAL
TASK-1162,Traction,MEDIUM,MEDIUM,DEGRADED,True,27,3,1.2,0,1,62.78962864345884,MEDIUM
TASK-1163,Engineering,MEDIUM,HIGH,DEGRADED,True,19,2,2.2,0,1,69.987998023462,HIGH
TASK-1164,Engineering,ROUTINE,NORMAL,FAIR,False,0,1,0.7,0,1,19.58057082972839,LOW
TASK-1165,Engineering,HIGH,HIGH,POOR,True,9,2,5.1,1,0,100.0,CRITICAL
TASK-1166,Engineering,CRITICAL,IMMEDIATE,POOR,False,0,1,3.6,1,0,100.0,CRITICAL
TASK-1167,Traction,HIGH,HIGH,FAILED,True,5,2,2.0,1,1,99.7359796985137,CRITICAL
TASK-1168,Traction,CRITICAL,HIGH,POOR,True,3,2,4.2,1,1,100.0,CRITICAL
TASK-1169,Engineering,MEDIUM,NORMAL,FAIR,True,9,1,5.4,0,1,37.61803921507875,LOW
TASK-1170,Engineering,LOW,NORMAL,GOOD,True,6,1,6.3,0,0,27.57194859459096,LOW
TASK-1171,Engineering,MEDIUM,NORMAL,FAIR,False,0,1,6.5,0,1,37.86364509629682,LOW
TASK-1172,Traction,CRITICAL,HIGH,FAILED,False,0,2,4.0,1,1,100.0,CRITICAL
TASK-1173,Traction,ROUTINE,NORMAL,FAIR,False,0,0,7.4,0,0,18.638020147500956,LOW
TASK-1174,Engineering,CRITICAL,HIGH,POOR,False,0,1,1.5,1,1,98.16843460688018,CRITICAL
TASK-1175,S&T,HIGH,HIGH,FAILED,False,0,4,7.9,1,0,100.0,CRITICAL
TASK-1176,Traction,MEDIUM,MEDIUM,DEGRADED,True,10,0,7.6,0,0,50.2597294290365,MEDIUM
TASK-1177,S&T,CRITICAL,IMMEDIATE,FAILED,True,1,0,6.6,1,0,96.50899657733946,CRITICAL
TASK-1178,Traction,CRITICAL,IMMEDIATE,POOR,True,13,2,6.7,1,1,100.0,CRITICAL
TASK-1179,Traction,HIGH,HIGH,POOR,True,16,0,7.2,1,1,94.80047036437234,CRITICAL
TASK-1180,Traction,CRITICAL,HIGH,POOR,False,0,1,3.9,1,1,100.0,CRITICAL
TASK-1181,Engineering,HIGH,HIGH,DEGRADED,False,0,3,6.2,1,1,86.01703633591052,CRITICAL
TASK-1182,Traction,CRITICAL,IMMEDIATE,POOR,True,9,2,5.2,1,1,100.0,CRITICAL
TASK-1183,S&T,CRITICAL,HIGH,POOR,False,0,5,1.1,1,1,100.0,CRITICAL
TASK-1184,S&T,LOW,MEDIUM,FAIR,True,10,2,2.5,0,1,47.176984661074485,MEDIUM
TASK-1185,S&T,HIGH,HIGH,FAILED,False,0,2,1.1,1,0,80.78129642205971,CRITICAL
TASK-1186,Engineering,ROUTINE,NORMAL,FAIR,True,2,2,3.4,0,1,23.49942063397496,LOW
TASK-1187,Engineering,MEDIUM,NORMAL,FAIR,False,0,1,1.0,0,1,31.900323023770948,LOW
TASK-1188,S&T,MEDIUM,MEDIUM,DEGRADED,True,20,3,4.6,1,0,78.8195456002618,HIGH
TASK-1189,S&T,ROUTINE,NORMAL,GOOD,False,0,1,2.1,0,1,23.96042264850435,LOW
TASK-1190,S&T,HIGH,HIGH,POOR,False,0,1,7.3,1,1,81.50830186602624,CRITICAL
TASK-1191,Traction,LOW,NORMAL,GOOD,True,22,1,6.9,0,0,45.865415945887634,MEDIUM
TASK-1192,Traction,HIGH,IMMEDIATE,POOR,True,1,1,4.1,1,1,86.82987252540897,CRITICAL
TASK-1193,S&T,MEDIUM,HIGH,DEGRADED,True,20,1,6.2,1,1,81.62427916594991,CRITICAL
TASK-1194,S&T,CRITICAL,IMMEDIATE,FAILED,False,0,1,6.1,1,1,100.0,CRITICAL
TASK-1195,Traction,CRITICAL,IMMEDIATE,FAILED,False,0,1,7.2,1,0,100.0,CRITICAL
TASK-1196,S&T,MEDIUM,NORMAL,FAIR,False,0,2,2.5,0,0,35.39497081111901,LOW
TASK-1197,S&T,LOW,MEDIUM,GOOD,False,0,0,3.4,0,1,24.35089650133287,LOW
TASK-1198,Traction,CRITICAL,IMMEDIATE,POOR,False,0,3,5.9,1,1,99.15098510210461,CRITICAL
TASK-1199,S&T,ROUTINE,NORMAL,FAIR,True,14,1,7.9,0,0,47.52024568241677,MEDIUM
TASK-1200,Traction,LOW,NORMAL,GOOD,False,0,0,7.3,0,1,18.982098199488192,LOW
TASK-1201,Traction,HIGH,HIGH,FAILED,False,0,0,5.5,1,1,78.88029866618872,HIGH
TASK-1202,Engineering,HIGH,IMMEDIATE,POOR,True,3,3,1.5,1,1,92.72052176898187,CRITICAL
TASK-1203,S&T,LOW,MEDIUM,FAIR,True,10,2,0.9,0,1,53.732714187573826,MEDIUM
TASK-1204,S&T,HIGH,MEDIUM,DEGRADED,False,0,1,2.1,1,1,65.14706792443394,HIGH
TASK-1205,S&T,HIGH,MEDIUM,DEGRADED,True,16,1,6.2,1,1,85.04569060453588,CRITICAL
TASK-1206,S&T,MEDIUM,HIGH,DEGRADED,True,1,3,6.1,1,1,71.40039089858291,HIGH
TASK-1207,S&T,MEDIUM,HIGH,DEGRADED,True,10,0,6.8,1,1,79.78351158397292,HIGH
TASK-1208,S&T,ROUTINE,NORMAL,GOOD,False,0,1,6.1,0,1,24.539956634562717,LOW
TASK-1209,Engineering,MEDIUM,HIGH,DEGRADED,True,3,1,2.2,0,1,51.49224747082049,MEDIUM
TASK-1210,Engineering,ROUTINE,MEDIUM,GOOD,True,13,3,6.2,0,0,49.048627279056745,MEDIUM
TASK-1211,Engineering,ROUTINE,NORMAL,FAIR,False,0,3,6.8,0,1,32.565342577943575,LOW
TASK-1212,Traction,MEDIUM,NORMAL,FAIR,True,20,0,2.3,0,1,52.78905153175931,MEDIUM
TASK-1213,S&T,ROUTINE,NORMAL,GOOD,False,0,0,4.7,0,0,19.06514348507277,LOW
TASK-1214,Engineering,CRITICAL,IMMEDIATE,POOR,False,0,1,5.7,1,1,100.0,CRITICAL
TASK-1215,S&T,ROUTINE,NORMAL,FAIR,True,8,1,5.0,0,0,27.587506894392387,LOW
TASK-1216,Traction,LOW,NORMAL,GOOD,True,2,2,6.3,0,0,25.314570144409803,LOW
TASK-1217,Engineering,MEDIUM,MEDIUM,DEGRADED,False,0,4,1.3,0,1,43.85208111187744,LOW
TASK-1218,Engineering,MEDIUM,MEDIUM,DEGRADED,False,0,1,4.8,0,1,35.87617299053658,LOW
TASK-1219,S&T,CRITICAL,IMMEDIATE,POOR,False,0,1,7.6,1,0,100.0,CRITICAL
TASK-1220,Engineering,LOW,NORMAL,GOOD,False,0,0,4.9,0,0,20.91679959889578,LOW
TASK-1221,Traction,MEDIUM,MEDIUM,FAIR,False,0,0,1.3,0,1,37.89645749800544,LOW
TASK-1222,S&T,CRITICAL,IMMEDIATE,FAILED,False,0,0,6.5,1,1,100.0,CRITICAL
TASK-1223,Traction,LOW,NORMAL,GOOD,False,0,5,3.1,0,1,21.932193010616295,LOW
TASK-1224,S&T,MEDIUM,MEDIUM,DEGRADED,False,0,4,1.0,1,0,62.60674801493248,MEDIUM
TASK-1225,Traction,MEDIUM,MEDIUM,DEGRADED,True,1,1,0.6,0,0,47.110643028424846,MEDIUM
TASK-1226,S&T,CRITICAL,HIGH,POOR,False,0,2,1.3,1,0,89.14192980744674,CRITICAL
TASK-1227,S&T,HIGH,HIGH,POOR,True,17,1,5.8,1,0,100.0,CRITICAL
TASK-1228,S&T,MEDIUM,NORMAL,FAIR,True,9,1,6.0,0,0,52.05579443159053,MEDIUM
TASK-1229,Traction,HIGH,HIGH,DEGRADED,True,6,0,5.1,1,1,89.82501172450542,CRITICAL
TASK-1230,Traction,CRITICAL,HIGH,POOR,False,0,4,4.0,1,1,99.34296139431629,CRITICAL
TASK-1231,Traction,CRITICAL,HIGH,FAILED,False,0,3,2.5,1,0,91.16821705311999,CRITICAL
TASK-1232,Engineering,ROUTINE,MEDIUM,GOOD,False,0,4,2.6,0,1,37.5650011013715,LOW
TASK-1233,S&T,ROUTINE,MEDIUM,FAIR,True,13,1,6.1,0,1,50.17224516743828,MEDIUM
TASK-1234,Traction,CRITICAL,IMMEDIATE,FAILED,True,5,1,5.5,1,1,100.0,CRITICAL
TASK-1235,S&T,MEDIUM,NORMAL,GOOD,True,34,1,4.2,0,1,57.37716531552519,MEDIUM
TASK-1236,S&T,LOW,MEDIUM,FAIR,True,19,0,4.2,0,1,48.365906756349794,MEDIUM
TASK-1237,S&T,MEDIUM,MEDIUM,DEGRADED,False,0,1,3.1,1,1,47.7473977289535,MEDIUM
TASK-1238,Traction,HIGH,MEDIUM,DEGRADED,False,0,2,4.7,1,1,58.448883067452,MEDIUM
TASK-1239,Traction,ROUTINE,NORMAL,FAIR,False,0,0,1.1,0,1,14.46845909385829,LOW
TASK-1240,Traction,CRITICAL,IMMEDIATE,POOR,False,0,3,4.2,1,1,95.52939686168111,CRITICAL
TASK-1241,Engineering,CRITICAL,HIGH,POOR,False,0,1,5.3,1,1,98.31292051713591,CRITICAL
TASK-1242,S&T,CRITICAL,IMMEDIATE,POOR,True,1,2,6.4,1,1,100.0,CRITICAL
TASK-1243,Engineering,HIGH,MEDIUM,DEGRADED,False,0,0,2.2,1,0,66.56204310871315,HIGH
TASK-1244,Traction,ROUTINE,NORMAL,FAIR,True,14,2,2.8,0,1,47.41017225021963,MEDIUM
TASK-1245,Traction,MEDIUM,MEDIUM,DEGRADED,True,7,4,4.0,0,1,46.6726898890391,MEDIUM
